255	3.1906489308850566e-02	2.5927555060591925e-02	1.0966345415120881e-02
256	3.1955941313300304e-02	2.6007283902482307e-02	1.0960297218574477e-02
257	3.2004974009891690e-02	2.6086895282602534e-02	1.0954167105906919e-02
258	3.2053579983008555e-02	2.6166401282906294e-02	1.0947962424079659e-02
259	3.2101749387689130e-02	2.6245806274461457e-02	1.0941687948283872e-02
260	3.2149479259277844e-02	2.6325110978945170e-02	1.0935347304905805e-02
261	3.2196767500974950e-02	2.6404322724580223e-02	1.0928943170479074e-02
262	3.2243605899135781e-02	2.6483447910574078e-02	1.0922483183472487e-02
263	3.2289980967339128e-02	2.6562492966900761e-02	1.0915976476668204e-02
264	3.2335885653365939e-02	2.6641467237659054e-02	1.0909424901552356e-02
265	3.2381316246177939e-02	2.6720381180322314e-02	1.0902831051874564e-02
266	3.2426273610186442e-02	2.6799241877390821e-02	1.0896187829792413e-02
267	3.2470756645935399e-02	2.6878061238485334e-02	1.0889488752562520e-02
268	3.2514758748921568e-02	2.6956854198194678e-02	1.0882732014038032e-02
269	3.2558278235280257e-02	2.7035629091686962e-02	1.0875913515493274e-02
270	3.2601310138670049e-02	2.7114397638293333e-02	1.0869038818061521e-02
271	3.2643854093093089e-02	2.7193167317713346e-02	1.0862110610473055e-02
272	3.2685914188804982e-02	2.7271938756172384e-02	1.0855132406758901e-02
273	3.2727480874088950e-02	2.7350717563417223e-02	1.0848112930802640e-02
274	3.2768547086759608e-02	2.7429511134635046e-02	1.0841061757066353e-02
275	3.2809115554110091e-02	2.7508323883131278e-02	1.0833982051516883e-02
276	3.2849188118973936e-02	2.7587160604112128e-02	1.0826873380638766e-02
277	3.2888759467390123e-02	2.7666032087160026e-02	1.0819744309576043e-02
278	3.2927823600944414e-02	2.7744952129662971e-02	1.0812603791672098e-02
279	3.2966379228504941e-02	2.7823927774464331e-02	1.0805453331826158e-02
280	3.3004420486293568e-02	2.7902959751133126e-02	1.0798289801226806e-02
281	3.3041931630140089e-02	2.7982044785757700e-02	1.0791109742392885e-02
282	3.3078900996241375e-02	2.8061180555575209e-02	1.0783910685399680e-02
283	3.3115325105811298e-02	2.8140371186051567e-02	1.0776693578062751e-02
284	3.3151198228131430e-02	2.8219623451808128e-02	1.0769461489831121e-02
285	3.3186516710795061e-02	2.8298940404167080e-02	1.0762216559296555e-02
286	3.3221282691751543e-02	2.8378326291209358e-02	1.0754958068918758e-02
287	3.3255501568994220e-02	2.8457787720569741e-02	1.0747680821943575e-02
288	3.3289179265048131e-02	2.8537330482170890e-02	1.0740383930930544e-02
289	3.3322320580756688e-02	2.8616961831314409e-02	1.0733071130220359e-02
290	3.3354927651969415e-02	2.8696683925676605e-02	1.0725744817323038e-02
291	3.3387000597719117e-02	2.8776498427704342e-02	1.0718409335359429e-02
292	3.3418546574515838e-02	2.8856404578221580e-02	1.0711071229270690e-02
293	3.3449575201092763e-02	2.8936398991347589e-02	1.0703736598121188e-02
294	3.3480093421434973e-02	2.9016483426339539e-02	1.0696401645657660e-02
295	3.3510111552926741e-02	2.9096663990135344e-02	1.0689060499050131e-02
296	3.3539636137339172e-02	2.9176951355868529e-02	1.0681711795973931e-02
297	3.3568670129122867e-02	2.9257354467696430e-02	1.0674350493954534e-02
298	3.3597218552222904e-02	2.9337876733729652e-02	1.0666970310235262e-02
299	3.3625288634859876e-02	2.9418512997662613e-02	1.0659566322074538e-02
